club_name,club_address,club_id,club_status
@ Bar and Bites,165 Clapham High Street; Clapham; SW4 755,22343,open
100 Club,"100 Oxford Street, W1D 1LL",28125,open
100 Wardour Street,"100 Wardour Street, W1F 0TN",114465,open
125 Church Street,"125 Stoke Newington Church St, N16 0UH",96879,open
12th Knot Rooftop Bar,"20 Upper Ground, South Bank, SE1 9PD",167353,open
14,Leicester Square WC2H 7NG,176279,open
15-19 Garman Road,"15-19 Garman Road, N17 0YU",182256,open
229 The Venue,"229 Great Portland Street, Fitzrovia, W1W 5PN",9305,open
26 Leake Street,"26 Leake St, South Bank, SE1 7NN",153428,open
289,"Railway Arches, 289 The, Cambridge Heath Rd, E2 9HA",176112,open
37 Jewry,"37 Jewry Street, EC3N 2ER",124705,open
4th Floor West,"255 - 259 Commercial Road, E1 2BT",45176,open
512 London,512 Kingsland Road; Dalston; E8 4AE,11563,open
55 East,"53-63 East St, Walworth, SE17 2DJ",176274,open
640east,"Railway Arches 159-161, Malcolm Place, Bethnal Green, E2 0EU",172062,open
93 Feet East,"The Old Truman Brewery, 150 Brick Lane; Shoreditch; E1 6RU",734,open
Aaja Deptford,"Arch 2, Deptford Market Yard, Deptford",158538,open
Ace Hotel,"100 Shoreditch High Street, Shoreditch",85510,open
"The ACT, Kingston College","Kingston Hall Road, Kingston upon Thames, KT1 2AQ",151884,open
Afrikiko Bar Restaurant & Club,"871 Old Kent Rd, SE15 1NX",184569,open
AIRspace Brixton,302-304 Barrington Road; Brixton; SW9 7JJ,87844,open
Albany - Deptford,Douglas Way; Deptford; SE8 4AG,29751,open
"The Alchemist, Bevis Marks","6 Bevis Marks, EC3A 7BA",155388,open
Alexandra Palace,Alexandra Palace Way; Alexandra Palace; N22 7AY,1585,open
All Star Lanes,95 Brick Lane; Shoreditch; E1 6QL,19212,open
Altitude 360,"29th Floor, Millbank Tower, 21-24 Millbank, SW1P 4QP",43483,open
Amersham Arms,388 New Cross Road; New Cross; SE14 6TY,7783,open
Apples & Pears,26 Osborn Street; Brick Lane; E1 6TD,23889,open
Aquarium,256 Old Street; Hoxton; EC1V 9DD,674,open
Aquum Bar And Restaurant,68-70 Clapham High Street; Clapham Common; SW4 7UL,18616,open
Arboretum,"2A CHARING CROSS ROAD, WC2H 0HF",177231,open
"Arcadia Loungebar, Bexleyheath","247 Broadway, DA6 8DB, Bexleyheath, Bexley",165334,open
Arch 1,"Unit 1, West Ham Arches, Cranberry Lane, E16 4BJ",91634,open
Arch 504,"504 Ridgway Road, Brixton",176762,open
Arcola Bar,"24 Ashwin St, E8 3DL",127656,open
Arsenal Tavern,"175 Blackstock Road, N4 2JS",182967,open
Artis Blackheath,"No1, Lawn Terrace, Blackheath, SE3 9LJ",180716,open
Aures London,"Unit 7, 18 Leake Street, SE1 7NN",145914,open
Autumn Studios,"Autumn Yard, Autumn Street, E3 2TT",165355,open
Backyard Comedy Club,"231 Cambridge Heath Road, Bethnal Green, E2 0EL",159886,open
Bambu,"1, Wrottesley Street, B5 4RT",174048,open
Banking Hall,"14, Cornhill, EC3V 3ND",179219,open
Bar & Co,"Templer Pier, Victoria Embankment, WC2R2",132730,open
Bar A Bar,133-135 Stoke Newington Road; Stoke Newington; N16 8BT,19297,open
Bar&Co,Temple Pier; Embankment; WC2R 2PN,14700,open
The Barbican Centre,Silk Street; EC2Y 8DS,31835,open
The Barbican Hall,Silk Street; Barbican; EC2Y 8DS,2237,open
Basing House,25 Kingsland Road; Shoreditch; E2 8AA,30015,open
The BBE Store,"376 Helmsley Pl, E8 3SB",136882,open
Beach Blanket Babylon,"19-23 Bethnal Green Rd, E1 6LA",109009,open
Beckenham Park,"Beckenham Hill Rd, Beckenham BR3 1SY",165446,open
Beckenham Park Mansion,"Beckenham Place Park, BR3 1SY",131787,open
The Bedford,77 Bedford Hill; Balham; SW12 9HD,7189,open
The Beehive Bow,"Bromley By Bow, 104 Empson Street",175925,open
Behind This Wall,"411 Mare St, E8 1HY, UK",158097,open
Bermondsey Social Club,"Arch 19 Almond Road, Bermondsey, SE16 3LR",108863,open
Bernie Grant Arts Centre,"Townhall Approach Rd, N15 4RX",34849,open
Berwick Manor,"Berwick Pond Road, Rainham, Essex, RM13 9EL",154790,open
Bethnal Green Workingmen's Club,44-46 Pollard Row; Bethnal Green; E2 6NB,13734,open
BFI Southbank,Belvedere Road; Southwark; SE1 8XT,11626,open
Bianca Road Brew Co.,"Unit 1, 95 Haymerle Rd, Access via Bianca Rd, SE15 6SJ",128979,open
The Big Chill House,257-259 Pentonville Road; Kings Cross; N1 9NL,4655,open
The Birds Nest,"32 Deptford Church St, SE8 4RZ",125096,open
Bisoux,"51a High Street, Esher, Surrey KT10 9RQ",126480,open
Bloc (Autumn Street),Unit 3; 39 Autumn St; Hackney Wick; E3 2TT,62301,open
Bloomsbury Bowling Lanes,Tavistock Hotel Basement; Bedford Way; Bloomsbury; WC1H 9EU,5357,open
The Boiler House,"152 Brick Lane, East E1 6RU",124730,open
Boisdale of Canary Wharf,"Cabbot Place, E14 4QT",154637,open
Bojangles Brasserie,"1,Old Church Road, Chingford, E4 6SJ",142516,open
Boma Bridge,"4-6 Putney High St, Putney, SW15 1SL",181466,open
Bomo Bunker,"24-26 Holdenhurst Road, Bournemouth BH8 8AD",147860,open
The Book Club,100-106 Leonard Street; Shoreditch; EC2A 4RH,21958,open
The Boston Music Room,"178 Junction Road, Tufnell Park, N19 5QQ",50851,open
The Bow Bells Pub,"116 Bow Rd, E3 3AA",176266,open
Bow Bridge,"28 Hancock Road, E3 3DA",123824,open
Boxpark,"2-4 Bethnal Green Rd, E1 6GY",66817,open
Boxpark Croydon,"99 George St, CR0 1LD",133362,open
Boxpark Wembley,"Olympic Way, Wembley, HA9 0NU",159920,open
Brew Club,"Hackney Walk Arches, 7-8 Bohemia Place, E8 1DU",127472,open
The Bridge House,"Bidder Street, E16 4ST",182132,open
Brilliant Corners,"470 Kingsland Road, E8 4AE",87715,open
Brixton Jamm,261 Brixton Road; Brixton; SW9 6LH,1557,open
Brockwell Park,"Brockwell, SE24 0NG",43545,open
The Brondes Age,328 Kilburn High Road NW6 2QN,91011,open
Bsmt Space,"529 Kingsland Rd, Dalston, E8 4AR",177020,open
Bucks Student Union,"Queen Alexandra Rd, High Wycombe HP11 2JZ, UK",149562,open
Bunker 51,"3 Herringham Road, SE7 8NJ",157568,open
Bunker Club,46 Deptford Broadway; Deptford; SE8 4PH,12445,open
Bureau of Silly Ideas,"18 Valentia Pl, Brixton, SW9 8PJ",172197,open
Bush Hall,310 Uxbridge Road; Shepherds Bush; W12 7LJ,18109,open
Buster Mantis,"3-4 Resolution Way, SE8 4NT",114862,open
Bygrave Woods,"Bygrave Woods, Newnham, Hertfordshire, SG7 5JX",71787,open
Cafe 1001,"The Old Truman Brewery, 91 Brick Lane; Shoreditch; E1 6SE",3393,open
Cafe Cairo,88 Landor Road; Stockwell; SW9 9PE,1656,open
Cafe De Paris,3 Coventry Street; St. James; W1D 6BL,10510,open
Cafe OTO,"18-22 Ashwin Street, Dalston, E8 3DL",35945,open
Camden Assembly,49 Chalk Farm Rd NW1 8AN,123199,open
Camden Eye,"2 Kentish Town Road, NW1 9NX UK",82028,open
Camden House,"Camden House LABS Triangle, Camden Lock Place, Chalk Farm Rd, NW1 8AB",181812,open
Camino,3 Varnishers Yard; King's Cross; N1 9FD,23011,open
Canada Water Cultural Space,"21 Surrey Quays Road, SE16 7AR",79511,open
Canavan's Peckham Pool Club,188 Rye Lane; Peckham; SE15 4NF,57602,open
The Cannick Tapps,"105-109 Cannon Street, EC4N 5AD",123811,open
Canvas,"The Oval, E2 9DT",180008,open
Capeesh,4 Pan Paninsula Square E14 9HN,151525,open
Cargo,83 Rivington Street; Hoxton; EC2A 3AY,640,open
The Castle,44 Commercial Road; Whitechapel; E1 1LN,14114,open
The Castle,34-35 Cowcross Street; Farringdon; EC1M 6DB,15509,open
The Cause,"Ashley House Depot, Ashley Rd, N17 9LZ",150005,open
Cecil Sharp House,"2 Regents Park Road, NW1 7AY",69200,open
Cell 200,3 Vale Royal; Kings Cross; N7 9AP,10747,open
Centrals Bar and Lounge,"Central’s Bar and Lounge, Worcester Park, KT4 8DR",173150,open
Century,61-63 Shaftsbury Avenue; Soho; W1D 6LD,18105,open
The Chateau,"29-33 Camberwell Church St, Camberwell, SE5 8TR",163926,open
Chelmsford City Racecourse,"Chelmsford City Racecourse, Chelmsford, Essex CM3 1QP",166974,open
Chelsea Funhouse,"459 King's Rd, Chelsea, SW10 0LR",175782,open
The Chequers,"145 High Street, E17 7BX",181935,open
The Cherry E3,"359 Mile End Rd, E3 4QS",183068,open
Cheshunt Country Club,"Theobalds Park, Cheshunt, EN8 8YA",63934,open
Chip Shop Brixton,"378 Coldharbour Lane, SW9 8LF",121954,open
City University,"Performance Space, College Building, City University of St John Street EC1V 4PB",175569,open
Clapham Common,Windmill Drive; Clapham Common; SW4 9DE,1347,open
Clapham Grand,21-25 St Johns Hill; Clapham; SW11 1TT,4965,open
"CLF Art Cafe [Block A, Bussey Building]",133 Rye Lane; Peckham; SE15 4ST,21896,open
CLF Art Lounge & Roof Garden,"4a Station Way, SE15 4RX",172847,open
The Clore Ballroom,"Royal Festival Hall, Southbank Centre, Belvedere Road, SE1 8XX",168612,open
Close-Up Cinema,"97 Sclater Street, E1 6HR",168964,open
Club 29,"29 High Holborn, WC1V 6AN",176944,open
Club Aquarium,"256-260, Old Street, EC1V 9DD",165422,open
Club Batchwood,Batchwood Drive; St Albans; Hertfordshire AL3 5XA,101669,open
Club KTM,"32 Railway Approach, Harrow, HA3 5AA",149218,open
Club Makossa,"113 Kingsland High Street, E8 2PB",117852,open
Club Reina,85 Charterhouse Street; Farringdon; EC1M 6HJ,6471,open
Club Storm,36 Stoke Newington Road; Dalston; N16 7XJ,176764,open
Club Union,"66 Godling Street, Vauxhall, SE11 5AW",175861,open
Colab House,"55 Southwark St, SE1 1RU",171968,open
Colesdale Farm,Northaw Road West Potters Bar EN6 4QZ,149130,open
The Colombian,"Corsica Studios, 4-5 Elephant Road, SE17 1LB",96957,open
Colours Hoxton,"2-4 Hoxton Square, N1 6NU",173144,open
"Compressor House, Royal Docks","Compressor House, Dockside Rd, Royal Docks, E16 2QU",180315,open
Compton's of Soho,"51 - 53 Old Compton Street, W1D 6HN, UK",124328,open
Concrete Space,56 Shoreditch High Street; Shoreditch; E1 6JJ,26131,open
The Conduit,"40 Conduit Street, Mayfair, EC2A 3PT",177491,open
Coney Woods,"Noseley, Leicester LE7 9EH",135907,open
The Constitution,42 St Pancras Way; Camden Town; NW1 0QT,9183,open
Cool & Cozzy Lounge,"156 Wells Way, Camberwell, SE5 7SY",179824,open
Copeland Gallery,"133 Copeland Rd, SE15 3SN",117823,open
Copeland Park,"133 Copeland Rd, Peckham, SE15 3SN, UK",134090,open
Corsica Studios,5 Farrell Court; Elephant & Castle; SE17 1LB,2587,open
Country Club Trent Park,"Bramley Road, Oakwood, N14 4UW",20229,open
Cowey Sale,"Shepperton, Walton-on-Thames KT12 1AR, UK",145560,open
Crown Pier,"Victoria Embankment, EC4Y 0HJ",143534,open
Crowne Plaza Kensington,"100 Cromwell Rd, South Kensington, SW7 4ER",179163,open
The Cuckoo Club,Swallow Street W1B 4EZ,74566,open
The Curtain,45 Curtain Road,138202,open
Dalston Boys Club,"Dalston Boys Club, 68 Boleyn Road, N16 8JG",151646,open
Dalston Den,"89a Kingsland hight street, E82PB",181160,open
Dalston Roof Park,"The Print House, 18-22 Ashwin St, Dalston, E8 3DL",166931,open
Dalston Superstore,117 Kingsland High St; Dalston; E8 2PB,19082,open
Damyns Hall Aerodrome,"Aveley Road, Upminster, Greater RM14 2TN",71957,open
Dartmouth Arms,"35 York Rise, NW5 1SP",162159,open
The Design Museum,"224-238, Kensington High Street",177695,open
Dingwalls,Middle Yard; Camden Town; NW1 8AB,9187,open
Disc World,"3 Deptford Market Yard, SE8 4BX",180141,open
DIY Space for London,"96-108 Ormside St, SE15 1TF, UK",118334,open
The Dogstar,389 Coldharbour Lane; Brixton; SW9 8LQ,1857,open
The Dome,"2A Dartmouth Park Hill, Tufnell Park, NW5 1HL",17509,open
Doña Bar,92 Stoke Newington High St,177445,open
Down Lane Studios,"Ashley House, Ashley Road, N17 9LZ",149500,open
DreamBags Jaguarshoes,"32-34 Kingsland Road, Shoreditch E2 8DA",113881,open
Dreamland Margate,"Dreamland Margate Marine Terrace, Margate, Kent CT9 1XJ",123416,open
The Drumsheds,"Meridian Water, Argon Rd, N18 3BW",167124,open
DUO,"22 Inverness St, Camden Town, NW1 7HJ",154009,open
Dutch Hall Venue,"7 Austin Friars, EC2N 2HA",164256,open
E1 London,"110 Pennington Street, Wapping, E1W 2BB",141756,open
EartH,"13 Stoke Newington Rd, Stoke Newington, N16 8BH, UK",150325,open
Eastcheap Records,"20 Eastcheap, EC3M 1EB",178025,open
Egg London,200 York Way; Kings Cross; N7 9AP,874,open
Electric Ballroom,184 Camden High St; Camden Town; NW1 8QP,936,open
The Electric Barge,The Electric Barge Sheldon Square W2 6NA,133371,open
Electric Brixton,Town Hall Parade; Brixton; SW2 1RJ,52120,open
Electrowerkz,7 Torrens Street; Islington; EC1V 1NQ,937,open
"Elgar Room, Royal Albert Hall","Kensington Gore, SW7 2AP",123836,open
Emalin Gallery,"Unit 4, Huntingdon Estate, Bethnal Green Rd, E1 6JU",177888,open
The Empire Bar,"291 Mare St, E8 1EJ, UK",147151,open
Emporium,"28-31 St Ebbes St, Oxford OX1 1PU",141656,open
Enclave lab,"50 Resolution Way, Deptford, SE8 4NT",182995,open
Escape Venue,"5 Horseshoe St, Northampton, NN1 1AJ",158496,open
Esher Rugby Football Club,"369 Molesey Rd, Walton-on-Thames KT12 3PF, UK",158327,open
Esquires Coffee Balham,"75 Bedford Hill, Balham, SW12 9HA",172385,open
Exale Taproom,"Unit 2C, Uplands Business Park, Walthamstow, E17 5QJ",177872,open
Excel London,"One Western Gateway, Royal Vicoria Dock, E16 1XL",13291,open
Exfed,"199 Eade Road, N4 1DN, UK",111406,open
The Exhibit,"12 Balham Station Road, SW12 9SG",122269,open
Exit Bar,174 Brick Lane; Shoreditch; E1 6RU,6399,open
Faborjé,"46, The Parade, Watford, Hertfordshire, WD17 1AY, UK",115819,open
fabric,77a Charterhouse St; Clerkenwell; EC1M 6HJ,237,open
"The Factory, Barnstaple","Petroc Brannams Campus, Oakwood Close, Roundswell (17,192.87 km) EX31 3NJ Barnstaple, Devon",145978,open
Fairfield Halls,"Park Lane, Croydon, CR9 1DG",81918,open
Favela London,"65 Crowndale Road, Camden, NW1 1TN",164494,open
The Fellowship and Star,"Randlesdown Rd, Bellingham, SE6 3BT",170814,open
Fest Camden,"The Horse Hospital Stables Market, Chalk Farm Road, Camden Town NW1 8AH",67011,open
Festival Pier,Festival Pier; South Bank; SE1 8XZ,2357,open
The Fiddler's Elbow,"1 Malden Road, NW5 3HS",92397,open
Fieldworks,Martello Street E8 3QW,131348,open
Fifty Five Bar,"31 Jamestown Rd, Camden Town, NW1 7DB",150251,open
Fingers Crossed,"247 Amhurst Rd, Hackney Downs, N16 7UN",177916,open
Fire,"39 Parry Street, South Lambeth Road, SW8 1RT",1103,open
Fire & Lightbox,"39 Parry Street, SW8 1RT",112736,open
Fire Bar,"31-33 Heddon St, Mayfair, W1B 4BN",181428,open
Five Miles,"39b Markfield Road, N15 4QA",133599,open
Floripa,"91-93 Great Eastern Street, Shoreditch, EC2A 3HZ",55913,open
FOLD,"Gillian House, Stephenson St, E16 4SA, UK",155399,open
Folklore,"186 Hackney Rd, E2 7QL",97206,open
Forest Road Brewery,"8 Netil Lane, E8 3RL",149125,open
The Four Quarters,"187 Rye Lane, Peckham, SE15 4TP",101865,open
The Fox and Firkin,316 Lewisham High Street SE136JZ,83895,open
Frames,"202 Brighton Road, Coulsdon, CR5 2NF",180654,open
Free Word,"60 Farringdon Road, EC1R 3GA",177369,open
Freedom,66 Wardour Street; Soho; W1F 0TA,2850,open
Freud's,"198 Shaftesbury Avenue , WC2H 8JL",181421,open
The Front Room,"St George's Walk, Croydon CR0 1YL",178338,open
Funktion Romford,"38 North Street, Romford, RM1 1BH",180676,open
The Garage,20-22 Highbury Corner; Highbury N5 1RD,18075,open
Garon Park,"Eastern Avenue, Southend on Sea, Essex. SS2 4PT",122100,open
The George Tavern,373 Commercial Road; Whitechapel; E1 0LA,13321,open
Gigi's Hoxton,"11 Hoxton Square, Hackney, N1 6NU",167573,open
Golden Anchor,"16 Evelina Road, SE15 2DX",108324,open
Golden Bee,Singer street EC1V 9DD,63886,open
Golden Jubilee & Yacht Club,Temple Pier; Embankment; WC2R 2PN,1349,open
Goldsmiths University Union,Dixon Road; New Cross; SE14 6NW,8027,open
Goodness Brewing Company,"5a Clarendon Yard, Coburg Road, N22 6TZ",177402,open
Gorilla,"54-56 Whitworth St, Manchester M1 5WW",178031,open
The Gowlett,"62 Gowlett Arms, Peckham Rye, SE15 4HY",77813,open
Grace Hall,"147 Leadenhall St, EC3V 4QT",173298,open
The Grace,"20-22 Highbury Corner, N5 1RD",179705,open
Grand Elektra,53 Robertson street,128708,open
Great Suffolk St Warehouse,"29 Great Suffolk St, Southwark, SE1 0NS",39364,open
Green House London,Unit 1 Hamlet industrial estate E9 5EN,170513,open
Green Note,"106 Parkway, Camden, NW1 7AN",73879,open
The Groucho Club,"45 Dean Street, W1D 4QB",175603,open
Grow,98C Wallis Road; Main Yard; E9 5LN,94507,open
Grow Tottenham,"Ashley House, Ashley Rd, N17 9LZ, UK",148468,open
The Gunmakers,"13 Eyre Street Hill, EC1R 5ET",119459,open
Gunnersbury Park,"Gunnersbury Park, W3 8LQ, UK",66670,open
Gutter,"Nelsons Retreat, 1 Vince St, Old St, Hoxton, EC1V 9HB",184543,open
Habit,"18 Kentish Town Rd, Camden Town, NW1 9NX",179005,open
Hackney Picturehouse,270 Mare Street; E8 1HE,66970,open
The Haggerston,"438 Kingsland Rd, E8 4AA",34076,open
Hainault Forest Country Park,"Hainault Forest Country Park, Romford Road, Grange Hill, Chigwell, ,IG7 4QN",11873,open
Hakkasan,"8 Hanway Place, W1T 1HD",183033,open
The Half Moon,"93 Lower Richmond Road, Putney, SW15 1EU",73452,open
Hand of Glory,"240 Amhurst Rd, Hackney Downs, E8 2BS",164966,open
The Hanway Bar,20 Hanway Street,138654,open
The Hanway Social Club,20 Hanway Street W1t 1UG,124341,open
The Hare & Hounds E10,"278 Lea Bridge Rd, E10 7LD",178807,open
Harlem Soul,"205 City Road, Hoxton, EC1V 1JN",176338,open
Hatch Club,"23 Lewisham Way, New Cross, SE14 6PP",174530,open
The Heathcote and Star,"344 Grove Green Rd, E11 4EA",142167,open
Heaven,11 The Arches; Villiers St; Charing Cross; WC2N 6NG,274,open
The Hertford Corn Exchange,"39 Fore St, Hertford SG14 1AL, UK",180423,open
Hidden Sounds,"144 Cambridge Heath Rd, Bethnal Green, E1 5QP",178189,open
Hideaway,"2 Empire Mews, Stanthorpe Road, SW16 2BF",62986,open
Honest Jon's,"Lower Stable Street, Coal Drops Yard, N1C 4DQ",160154,open
Hootananny,93 Effra Rd; Brixton; SW2 1DF,13637,open
Hootananny Brixton,"95 Effra Road, Brixton, SW2 1DF",143114,open
The Horse & Groom,28 Curtain Road; Shoreditch; EC2A 3NZ,5355,open
The Horse Hospital,"Colonnade, Bloomsbury, WC1N 1HX",20346,open
House of Vans,Arches 228 - 232 Station Approach Road; SE1 8SW,98236,open
Hovarda London,36 – 40 Rupert Street W1D 6DW,168258,open
Hoxton Basement,"12-18 Hoxton St, N1 6NG (Basement Entrance on Drysdale St, N1 6NG)",67990,open
Hoxton Cabin,"132 Kingsland Rd, E2 8DP",162258,open
Hoxton Square,"Hoxton Square, Hackney",117341,open
Hoxton Underbelly,"11 Hoxton Square, N1 6NU",180247,open
HQI,"201 Wood Lane, W12 7FQ",176408,open
Huckster London,"4 Kingdom St, W2 6BD",160455,open
HWK,"29 White Post Lane, E9 5EN",179551,open
Hyde Park,Hyde Park; Marble Arch; W1J 7BS,6233,open
ICA,12 Carlton House Terrace; The Mall; St. James's; SW1Y 5AH,2005,open
Iklectik,"20 Carlisle Lane, SE1 7LG",102432,open
IndigO2,Gate 3A; Milennium Way; Greenwich; SE10 0AX,7356,open
Infinity London,"442 - 444 Cranbrook Road, Gants Hill, Ilford, IG2 6LL",173166,open
Interludee,"12 Leegate, Lee, SE12 8SS",179004,open
Iron Bloom,"46 Great Eastern Street, EC2A 3EP46 Great Eastern St, Hackney, EC2A 3EP",178445,open
Iron Stag Hoxton,"45-47 Hoxton Square, N1 6PD",182367,open
Islington Assembly Hall,"Upper Street, N1 2UD",74138,open
Islington Metal Works,7 Torrens St; Angel; EC1V 1NQ; United Kingom,23884,open
The Jago,"440 Kingsland Road, E8 4AA",164341,open
Jakata London,"14-16 Ganton Street, W1F 7BT",172912,open
JAKO,"1a Kensington High St, Kensington, W8 5NP",163194,open
Jam In A Jar,"599A Green Lanes, Harringay, N8 0RE",176899,open
Jamboree,"27 Three Colt Street, Limehouse, E14 8HH",62416,open
The Jazz Cafe,5 Parkway; Camden Town; NW1 7PG,1502,open
Jerusalem Bar & Kitchen,"33-34 Rathbone Pl, W1T 1JN",45456,open
Jin Bo Law,"14th floor, 9, Dorsett City, Aldgate High St, EC3N 1AH",156301,open
Junction House,"578 Kingsland Road, E8 4AH",125514,open
Juno Cafe,"Unit D, Industrial Estate, Juno Way, SE14 5RW",167097,open
Kadie's Cocktail Bar,"9 Swallow St, Mayfair, W1B 4DF, UK",151569,open
Karamel Club,"4 Coburg Rd, N22 6UJ",118793,open
Karma Ealing,10 High St; Ealing; W5 5JY,60028,open
Katzpace,"24 Southwark Street, SE1 ITY",182288,open
Kelseys,"15 High Street, Leamington Spa, CV31 3AW",175687,open
Kensington Olympia,Hammersmith Road; West Kensington; W14 8UX,12922,open
King's Head Members Club,"257 Kingsland Road, E2 8AS",86134,open
Kings Place,"90 York Way, N1 9AG",34363,open
Kolis Club,18 Kentish Town RD Camden Town NW1 9NX,163807,open
Kolis London,1 Archway Road N19 3TD,105025,open
Kristin Hjellegjerde Gallery,"533 Old York Rd, SW18 1TG",143225,open
Kristin Hjellegjerde Gallery,"2 Melior Pl, Bermondsey, SE1 3SZ",183161,open
Kristina Records,"194 Well Street, E9 6QT",175486,open
La Cabina,"232 Kingsland Rd, Dalston, E2 8AX",137343,open
Lady Hamilton Kentish Town,"289 Kentish Town Road, NW5 2JS",176669,open
Ladybird / Basement Club,70 Upper Street; Islington; N1 0NY,26783,open
Lafayette London,"11 Goods Way, Kings Cross, N1C 4DP",182004,open
Last Days of Disco,"15-16 Lendal Terrace, Clapham, SW4 7UX",177186,open
The Latin Groove,"18 Kentish Town Road, Camden Town, Lonodn NW1 9NX",178582,open
Laylow,"10 Goldborne Rd, Westborne Grove, W10 5PE",156266,open
The Lexington Club,96-98 Pentonville Road; Angel; N1 9JB,1380,open
The Leyton Star,"116 High Rd Leyton, E15 2BX",164038,open
Leytonstone Ballroom,"640 High Rd Leytonstone, E11 3AA, UK",158791,open
Libertine Club,"4 Winsley St, Fitzrovia, W1W 8HF",89490,open
Library London,"112 St Martin's Lane, WC2N 4BD",147160,open
Lightbox,6A S Lambeth Pl; Vauxhall; SW8 1SP,13311,open
The Lighthouse Bar & Club,"62-68 Rivington St, EC2A 3AY",133105,open
Lion and Lamb,"46 Fanshaw Street, N1 6LG",122921,open
Lion Coffee Records,"118 Lower Clapton Rd, Lower Clapton, E5 0QR",180679,open
The Little Yellow Door,68 Notting Hill Gate W11 3HT,111957,open
Livesey Exchange,"135 Bird in Bush Rd, SE15 1QP",175350,open
Lloyds Park Croydon,"84 Coombe Rd, Croydon CR0 5RA",149301,open
LN-CC,"18-24 Shacklewell Lane, Dalston, E8 2EZ",121688,open
